location,image_description,text,translated_text,id
Bottom right,"A troll face meme character in a dancing pose, with a speech bubble saying 'Sale Chutiya'.",Sale Chutiya,Sale Chutiya,Hindi_image_1485.jpg
Top Left,"A man in a denim jacket with glasses, pointing his finger to the right and smiling.",Akash Kalla,Akash Kalla,Hindi_image_818.jpg
Top Right,A screenshot of a Facebook page with the 'Requests' tab highlighted by a red square.,Requests,Requests,Hindi_image_818.jpg
Middle Right,"A list of Facebook friend requests, each with a picture of the sender, their name, and 'Confirm' and 'Delete' buttons.",lyer,lyer,Hindi_image_818.jpg
Middle Right,"A list of Facebook friend requests, each with a picture of the sender, their name, and 'Confirm' and 'Delete' buttons.",Venu Gopala Iyer,Venu Gopala Iyer,Hindi_image_818.jpg
Middle Right,"A list of Facebook friend requests, each with a picture of the sender, their name, and 'Confirm' and 'Delete' buttons.",Mutu Swami Iyer,Mutu Swami Iyer,Hindi_image_818.jpg
Middle Right,"A list of Facebook friend requests, each with a picture of the sender, their name, and 'Confirm' and 'Delete' buttons.",Chinna Swami Mutu Swami Iyer,Chinna Swami Mutu Swami Iyer,Hindi_image_818.jpg
Bottom Left,A close-up of a person covering their face with their hands in a distressed manner.,,,Hindi_image_818.jpg
Bottom Right,"A list of Facebook friend requests, each with a picture of the sender, their name, and 'Confirm' and 'Delete' buttons.",Mutu Swami Iyer,Mutu Swami Iyer,Hindi_image_818.jpg
Bottom Right,"A list of Facebook friend requests, each with a picture of the sender, their name, and 'Confirm' and 'Delete' buttons.",Chinna Swami Mutu Swami Iyer,Chinna Swami Mutu Swami Iyer,Hindi_image_818.jpg
Top,"Text ""Abey 2 Din Shaadi Mai Kya Aaya"" written in white font",Abey 2 Din Shaadi Mai Kya Aaya,"Dude, what happened in the wedding for 2 days",Hindi_image_2198.jpg
Middle,Mark Zuckerberg is shown scratching his head while looking at a messy network server with many orange and white cables.,LIFE OF STUDENT,LIFE OF STUDENT,Hindi_image_2198.jpg
Bottom,"Text ""Sara Kaam Band Ho Gaya"" written in yellow font with a skull emoji",Sara Kaam Band Ho Gaya,All work has stopped,Hindi_image_2198.jpg
Top text,"White text on black background, reads 'Respect is earned by giving respect'.",सम्मान देने से सम्मान मिलता है...,Respect is earned by giving respect...,Hindi_image_159.jpg
Middle text,"White text on black background, reads 'For example:'",उदाहरण-,For example-,Hindi_image_159.jpg
Bottom text,"White text on black background, with emojis. Reads 'Wife touches husband's feet every morning and Husband carries wife's feet on his shoulders at night. 😂😂😂'","पत्नी रोज सुबह पति के
पैर छूती है
और
पति रात को पत्नी की दोनों
पैर अपने
कंधे पे ले लेता है.😂😂😂",Wife touches husband's feet every morning and Husband carries wife's feet on his shoulders at night. 😂😂😂,Hindi_image_159.jpg
Top,"Black text on a white background. The text reads ""Meri puri zindagi mein ek hi maal mila - Ru ""maal""","Meri puri zindagi mein ek hi maal mila
- Ru ""maal""","In my whole life, I got only one ""maal""
- Ru ""maal""",Hindi_image_2167.jpg
Top text,Text about not having the desire to earn money.,अब तो पैसे कमाने की इच्छा ही नहीं होती ।,Now I don't even feel like earning money.,Hindi_image_1446.jpg
Top right image,"A yellow emoji with a bored or tired expression, with closed eyes and a droopy mouth.",,,Hindi_image_1446.jpg
Middle text,Text about a voice coming from somewhere when a little money is saved.,थोड़े पैसे जमा होते ही कही से आवाज आ जाती है।,"As soon as a little money is saved, a voice comes from somewhere.",Hindi_image_1446.jpg
Middle left image,"A yellow emoji with wide, surprised eyes and an open mouth, with a large red question mark behind it.",,,Hindi_image_1446.jpg
Bottom left text,Text addressing 'my dear countrymen'.,..मेरे प्यारे देशवासियो..,..My dear countrymen..,Hindi_image_1446.jpg
Middle right image,"A cartoon drawing of a troll face character, with a speech bubble saying 'Sale Chutiya', and appearing to be running or dancing with gas coming out of its rear.",Sale Chutiya,Sale Chutiya,Hindi_image_1446.jpg
Bottom text,Text encouraging users to like them on Facebook and providing a Facebook handle.,Like us on Facebook: @SaleChutiya,Like us on Facebook: @SaleChutiya,Hindi_image_1446.jpg
Top text,Black background with white text describing a conversation.,"कल Mrs. वर्मा बाज़ार में मिल गई!
हाल चाल पूछने के दौरान उन्होंने बताया,
""दोनों अब बड़े हो गए हैं, काबू में ही नहीं
आते हैं!""","Yesterday I met Mrs. Verma in the market!
While asking about her well-being, she said,
""Both have grown up now, they don't come
under control!""",Hindi_image_165.jpg
Bottom text,Black background with white text expressing confusion.,"साला अब समझ नहीं आ रहा है वो
किसकी बात कर रही थी!","Damn, now I don't understand whose
conversation she was referring to!",Hindi_image_165.jpg
Bottom icons,Four laughing emoji icons.,,,Hindi_image_165.jpg
Top,"Text on a black background that reads ""Me To Horror Movie Characters -""",Me To Horror Movie Characters -,Me To Horror Movie Characters -,Hindi_image_1320.jpg
Bottom,"A green frog character, with an angry expression, is seen slapping another green character from behind. The character being slapped has a red mark on its back. The text below reads in Hindi ""Jab tujhe pata hai ki udhar se ajeeb aawaj aa rahi hai to udhar kya mujra dekhne gya!!""",JAB TUJHE PATA HAI KI UDHAR SE AJEEB AAWAJ AA RAHI HAI TO UDHAR KYA MUJRA DEKHNE GYA!!,"When you know a strange sound is coming from there, then did you go there to watch a dance performance!!",Hindi_image_1320.jpg
Top,"A man with a stern expression looks towards another person, with text overlayed.","Aaj Mere Pass Gaadi Hai ,Bangalow Hai , Bank Balance Hai Tere Paas Kya Hai ?","Today I have a car, a bungalow, bank balance. What do you have?",Hindi_image_1452.jpg
Middle,"A man looks at another person with a slightly confused expression, with text overlayed.",Toh Party De dena BSDK !,"Then give the party, you scoundrel!",Hindi_image_1452.jpg
Bottom,"Two men are talking, one looking at the other, with text overlayed.",Bhai Paisa Kaha Hai Yaar Gareeb Log Hain Hum...?,"Brother, where is the money? We are poor people...?",Hindi_image_1452.jpg
Top,A man with glasses and dreadlocks points his finger at the camera while wearing a colorful shirt.,you love this bantai,you love this bantai,Hindi_image_788.jpg
Middle,The same man with dreadlocks and glasses is looking forward.,I love this Bantai,I love this Bantai,Hindi_image_788.jpg
Bottom,The same man with dreadlocks and sunglasses is looking to the side.,we are not same bro,we are not same bro,Hindi_image_788.jpg
Center,"A man wearing traditional Indian attire, with religious markings on his forehead, speaking into a microphone. There are speech bubbles with text overlayed on the image.",koi apkoo kyu bolegea,Why would anyone say anything to you,Hindi_image_1297.jpg
Top right,A golden ornate headrest or decoration behind the speaker.,@sadhoonmaiyarr,@sadhoonmaiyarr,Hindi_image_1297.jpg
Bottom right,A black speech bubble with a profile picture inside and text.,aaj pata hai kya hua?,Do you know what happened today?,Hindi_image_1297.jpg
Top,Text overlay on a black background.,then Amit Ji caught Abhishek with Bika,then Amit Ji caught Abhishek with Bika,Hindi_image_1283.jpg
Top right,A man with glasses and a white beard is looking to the side.,"Abhishek
be like","Abhishek
be like",Hindi_image_1283.jpg
Bottom,"A man with a surprised expression is looking at the viewer, with another man's arm around his shoulder.","Bikaji ka packet Fatt gaya he, Khaane Dijiy","Bikaji's packet is torn, give it to eat",Hindi_image_1283.jpg
top,A woman is looking at a man with a worried expression. There is a speech bubble above her.,Kya Soch Rahe Ho?,What are you thinking?,Hindi_image_978.jpg
bottom,A man is looking intensely at the camera. There is a speech bubble below him.,"Maine 3 Idiots Ke Semester Exam Mein Machine Ka Definition ""Up Down, Up Down"" Likha Tha Fir Bhi Top Kar Gaya.","In the 3 Idiots semester exam, I wrote the definition of Machine as ""Up Down, Up Down"" but still got the top position.",Hindi_image_978.jpg
Top Right,"Red text box with the words ""Unofficial Titu Mama""",Unofficial Titu Mama,Unofficial Titu Mama,Hindi_image_2007.jpg
Bottom,A man in an orange shirt speaking to a crowd of people sitting in an auditorium. The man has a beard and glasses.,"wo Janta ka Chutiya Katne ka liye
Bhaiyo-Behno bolna zaroori hai kya?",Is it necessary to say Brothers-Sisters to fool the public?,Hindi_image_2007.jpg
Top Left,A black background with yellow text and a picture of Mahatma Gandhi on the right.,"Kal Band Rahegi
Aaj hi Lekar
Rakh Len.........
~Bapu","Will remain closed tomorrow
Take it today itself
Keep it.........
~Bapu",Hindi_image_1254.jpg
Bottom Right,A watermark of 'Fb.com/AvoJok' on the image of Mahatma Gandhi.,Fb.com/AvoJok,Fb.com/AvoJok,Hindi_image_1254.jpg
Top Text,White text on black background about stealing.,Jiju ke joote jab saaliyon ne churai to sabhi ne tarif ki Aur jab maine bhabhi ke gahne churaye to sabhi ne koot diya,"When sisters-in-law stole Jiju's shoes, everyone praised. But when I stole sister-in-law's jewelry, everyone beat me up.",Hindi_image_1240.jpg
Bottom Image,Rajinikanth looking down with a pensive expression.,,,Hindi_image_1240.jpg
Top,A man dressed as Captain America is intimately embracing a woman.,,,Hindi_image_1903.jpg
Bottom,A meme character with sunglasses and a wide smile is shown next to Hindi text.,Lagta Hai Galat Avenger Movie Download Karli..,Seems like I downloaded the wrong Avenger movie..,Hindi_image_1903.jpg
Top,Text overlayed on the top of the image.,When you watch Porn Video after masterbura,When you watch Porn Video after masterbura,Hindi_image_1095.jpg
Middle Center,A man in a green shirt is being interviewed with a microphone in front of him.,Me,Me,Hindi_image_1095.jpg
Bottom Left,Text overlayed on the bottom left of the image.,Credit: Vijay Thakur,Credit: Vijay Thakur,Hindi_image_1095.jpg
Top,"A man sitting on a couch, holding a mug.",Me : Bhabhi Itni Garam Chai Marwaongi Kya 😋,"Me: Bhabhi, will you make me drink such hot tea? 😋",Hindi_image_549.jpg
Bottom,"A woman wearing a saree, smiling coyly.",She : Ha 😋,She: Yes 😋,Hindi_image_549.jpg
Top,Text with laughing emojis.,Bhabi mil gyi,Sister-in-law has been found,Hindi_image_1718.jpg
Left Image,A woman wearing a red headscarf is pouring alcohol from a bottle into a glass.,,,Hindi_image_1718.jpg
Right Image,A woman wearing a red headscarf is drinking alcohol from a glass.,,,Hindi_image_1718.jpg
top,text in black on a tan background,"पत्नी : और बताओं, आज
खाना कैसा बना है?","Wife: Tell me more, how is the food made today?",Hindi_image_1724.jpg
middle,text in black on a tan background,"पति : तुम भी ना, बस
लड़ने के बहाने ढूंढती हो।","Husband: You too, just keep looking for excuses to fight.",Hindi_image_1724.jpg
bottom,several laughing emojis on a tan background,,,Hindi_image_1724.jpg
Top right logo,Logo with the text CHUTIYAPA and cartoon characters.,CHUTIYAPA,CHUTIYAPA,Hindi_image_207.jpg
Top middle of truck,Text on the truck's windshield.,ALL INDIA PER MIT,ALL INDIA PER MIT,Hindi_image_207.jpg
Top right of truck,Text on the truck's windshield.,RIYAS,RIYAS,Hindi_image_207.jpg
Middle of truck,"Text on the truck in Hindi, written on blue and white strips.",शुभ लाभ,Good fortune and profit,Hindi_image_207.jpg
Bottom middle of truck,"Text on the truck in Hindi, written on blue and white strips.",भाग्य लक्ष्मी,Fortune and Lakshmi,Hindi_image_207.jpg
Bottom of the image,Text written in white and blue font on the image of a truck.,Naya Truck Kharida hai dosto koi Shayari batao truck pe likhwana hai.,"Bought a new truck friends, tell me some Shayari to get written on the truck.",Hindi_image_207.jpg
Bottom right corner logo,Instagram logo with text @__chutiyapa.__,@__chutiyapa.__,@__chutiyapa.__,Hindi_image_207.jpg
Top,Yellow text on a black background saying 'A VERY DEEP MESSAGE!!',A VERY DEEP MESSAGE!!,A VERY DEEP MESSAGE!!,Hindi_image_561.jpg
Top right,"A person in a tracksuit with a marijuana leaf logo on the back, riding a rocket shaped like a joint through space with planets in the background. The word 'CAKR' is visible in the background.",,,Hindi_image_561.jpg
Middle,"A three-panel illustration showing a person with a book. In the first panel, the person is short. In the second, they are taller, standing on a small stack of books. In the third, they are even taller, standing on a large stack of books. The illustration depicts a progression or growth.",,,Hindi_image_561.jpg
Bottom,A comment section with a profile picture of a person wearing a hijab and a niqab. The text is in Urdu.,"Raftar Rashedin Phir vi Uske hath me kitaab h
Matlab londa engineer h","Raftar Rashedin Still, he has a book in his hand
Means the guy is an engineer",Hindi_image_561.jpg
Top left,Three men from the Indian sitcom Taarak Mehta Ka Ooltah Chashmah are shown. The man on the left is covering his mouth with his hand as if surprised or disgusted. The man in the middle is looking directly at the camera with a questioning expression. The man on the right is also looking at the camera with a surprised expression.,"Iyer bhai , Hagne ke Baad
Pehle Haath dhoge
Yaa Khana Kahoge ?","Brother Iyer, after defecating
Will you wash your hands first
Or will you eat?",Hindi_image_206.jpg
Top right,Two men from the Indian sitcom Taarak Mehta Ka Ooltah Chashmah are shown. The man on the left has glasses and is looking at the camera with a stern expression. The man on the right is wearing glasses and has a surprised expression.,"Main Pehle
Haath Dhoega",I will wash my hands first,Hindi_image_206.jpg
Middle,"Two men from the Indian sitcom Taarak Mehta Ka Ooltah Chashmah are shown. The man on the left, wearing a yellow shirt, is looking upwards with a confused or exasperated expression. The man on the right, wearing a brown and orange patterned shirt, is looking directly at the camera with a disgusted expression.","Gaand Kon
Tera Baap Dhoega ?","Whose ass
Will your father wash?",Hindi_image_206.jpg
Bottom left,Two men from the Indian sitcom Taarak Mehta Ka Ooltah Chashmah are shown. The man on the left is wearing glasses and looking to the side with a displeased expression. The man on the right is wearing glasses and has a shocked expression.,,,Hindi_image_206.jpg
Bottom right,A group of men are seen standing outside a general store. The store is well-stocked with various items on shelves. The men appear to be engaged in a conversation.,"ALL IN ONE GENERAL STORE
ऑल इन वन जनरल स्टोर","ALL IN ONE GENERAL STORE
All in one General Store",Hindi_image_206.jpg
Top,Text in Hindi with emojis.,"बैंक लोन की आखिरी किश्त भरते एक सज्जन 😂🤣🤪
",A gentleman paying the last installment of a bank loan 😂🤣🤪,Hindi_image_1725.jpg
Middle,"A man wearing only underwear and a t-shirt, standing in front of bank counters.",,,Hindi_image_1725.jpg
Bottom Right,A laughing emoji.,,,Hindi_image_1725.jpg
Top,Text written in Hindi with a title that reads 'Women's two miracles...',औरतो के दो करिश्मे...,Women's two miracles...,Hindi_image_21.jpg
Middle Top,"Text in Hindi that reads, 'Does not eat grass but gives milk.'",घास नही खाती है फिर भी दुध देती है,Does not eat grass but still gives milk.,Hindi_image_21.jpg
Middle Bottom,"Text in Hindi that reads, 'Does not have a penis but can screw a person.'",लन्ड नही है फिर भी आदमी की गाड मार लेती है.,Does not have a penis but can screw a person.,Hindi_image_21.jpg
Bottom,Five emojis depicting laughter and mischief.,,,Hindi_image_21.jpg
Top left,A television channel logo 'ARY DIGITAL' is visible on the top left.,"ARY
DIGITAL","ARY
DIGITAL",Hindi_image_1057.jpg
Bottom,A man wearing a light brown shirt and a black cap is speaking. White text is superimposed on the image.,"Allah Maaf Kare, Bade
Hi Manhoos Lagre Ho","Allah forgive, you seem very unlucky",Hindi_image_1057.jpg
top part of image,"An anime character, possibly from Dragon Ball Z, with their legs in the air, as if falling or flying.",तेरी सुंदरता के चक्कर में भूल जाता,"In the चक्कर of your beauty, I forget",Hindi_image_212.jpg
bottom part of image,"A close-up of a muscular, alien-like character with a robotic suit and helmet, looking upwards with a determined or surprised expression.",हु की तू कितनी माँ की लोड़ी है,how much of a motherfucker you are,Hindi_image_212.jpg
top image,A person's hands are shown applying glue to the tip of a cigarette.,,,Hindi_image_1731.jpg
bottom text,"The text is in Hindi, followed by a yellow emoji with a neutral expression, and then a cartoon of a man with glasses laughing heartily.","सुबह सुबह 10₹ का
नुकसान हो गया 🙂","In the morning, I incurred a loss of ₹10 :|",Hindi_image_1731.jpg
Middle,A black background with yellow and white text.,"Exam aagyi lekin abhi tak
sharam nahi aayi.",Exams have arrived but I still haven't felt ashamed.,Hindi_image_2210.jpg
Top,"The text ""BADMAASH TALK!"" is written in large red letters against a blurry background.",BADMAASH TALK!,BADMAASH TALK!,Hindi_image_548.jpg
Middle,"Two men wearing sunglasses are shown. The man on the left is wearing a yellow shirt and a necklace, while the man on the right is wearing a black shirt and has a cigarette in his mouth. The text ""Badmosssiii nii mitr"" is written across them.",Badmosssiii nii mitr,Badmosssiii nii friend,Hindi_image_548.jpg
Middle Bottom,"The same two men are shown. The text ""छिनरों में उठना बैठना"" is written below the previous text.",छिनरों में उठना बैठना,Hanging out with sluts,Hindi_image_548.jpg
Bottom,"The same two men are shown. The text ""हमारा भी बहुत है !"" is written below the previous text, followed by the text in parentheses ""(पूरा friend circle ही छिनार है )"".","हमारा भी बहुत है !
(पूरा friend circle ही छिनार है )","We also have a lot!
(The entire friend circle is a slut)",Hindi_image_548.jpg
Top,"A young man with glasses and a pink t-shirt is holding a camera with a microphone attached, in a gesture of recording. He has a red bracelet on his wrist and a tattoo on his arm. The background consists of blurred green foliage. There is a logo that says ""CHUTIYAPA"" above and to the right of the camera.","Only YouTuber In India Jisko Din Duniyaa Se Koi Matlab Nhi, Subah Utho Daal Chaawal Khao, Vlog dalo Or So Jao","The only YouTuber in India who doesn't care about the world. Wake up in the morning, eat dal chawal, upload a vlog, and sleep.",Hindi_image_2204.jpg
Top section,"Profile picture of Batman and username 'Batman', with handle '@andhere_ka_baap'.",,,Hindi_image_1094.jpg
Middle section,"Text describing a robbery scenario at a mall, specifically in PVR.","*Robbery at mall*
*In PVR*","*Robbery at mall*
*In PVR*",Hindi_image_1094.jpg
Lower section,Dialogue between police and manager about the loss during the robbery.,"Police- kitne ka nuksaan huya?
Manager- Kareeb 2 lakhs ka..","Police- How much was the loss?
Manager- Around 2 lakhs..",Hindi_image_1094.jpg
Bottom section,Continued dialogue between police and manager about the items stolen during the robbery.,"Police- kya kya leke gaye chor?
Manager- 2 large Coke, 2 regular salted popcorns, burger and hotdog.","Police- What did the thieves take?
Manager- 2 large Coke, 2 regular salted popcorns, burger and hotdog.",Hindi_image_1094.jpg
Center,"Close-up of Kate Winslet as Rose DeWitt Bukater from Titanic, lying down with her head tilted and hand near her face. She is wearing a diamond necklace.",,,Hindi_image_1241.jpg
top left,Nobita looks scared and surprised.,AMON SAB MERI MAARTE HAI TU KUCH KAR,"They all hit me, do something.",Hindi_image_986.jpg
top right,"Doraemon looks confused, while Nobita is scared.",RUK EK GADGET HAI,"Wait, there is a gadget.",Hindi_image_986.jpg
bottom left,Nobita holds a blue gadget that looks like a drill.,ISKO DAL LE,Put this in.,Hindi_image_986.jpg
bottom right,Nobita is crying and looking at Doraemon.,TU BAHUT HARAMI HAI DORABU,"You are very mischievous, Dorabu.",Hindi_image_986.jpg
Top,Portrait of Karnataka CM H.D. Kumaraswamy and his wife,Karnataka CM's Kumaraswami's Wife,Karnataka CM's Kumaraswami's Wife,Hindi_image_992.jpg
middle,"A person with sunglasses and a mustache, wearing a gray shirt",TITU MAMA,TITU MAMA,Hindi_image_992.jpg
bottom,Close up of a man wearing sunglasses and a mustache,Buddho kai Dillo me Jawani kai diye jal rahe hai Or Kuch log abhi tak apna nuni mal rahe ha,Old people's youth is burning in their hearts Or some people are still enjoying their own pleasures,Hindi_image_992.jpg
Center,"A dark, blurred background with text overlaid in white.","Jo muhabbat humse
Seekhi thi,
Woh aaj kal kis se
Nlbha rahe ho?
Pyaar hai unse, ya unhe bhi
Chutiya bana rahe ho?","The love you learned from me,
With whom are you fulfilling it these days?
Do you love them, or are you making a fool of them too?",Hindi_image_1296.jpg
Top text,text mentioning Meghna Srivastava topped 2018 CBSE results with 99.8% (499/500 marks),"MEGHNA SRIVASTAV TOPPED
2018 CBSE RESULTS WITH 99.8%
(499/500 MARKS)",MEGHNA SRIVASTAV TOPPED 2018 CBSE RESULTS WITH 99.8% (499/500 MARKS),Hindi_image_945.jpg
Top image,photo of a smiling young woman with traditional Indian jewelry,,,Hindi_image_945.jpg
Left orange box,orange box with red text that says 'TITU MAMA',"TITU
MAMA",TITU MAMA,Hindi_image_945.jpg
Top right text,yellow text on a black background that says 'AFTER ACORING 38%',"AFTER ACORING
38%",AFTER SCORING 38%,Hindi_image_945.jpg
Bottom text,yellow text on a black background that says 'AAJ BAAPU GAAND PE LAAT ZAROO MAAREGA',AAJ BAAPU GAAND PE LAAT ZAROO MAAREGA,TODAY FATHER WILL DEFINITELY KICK ON THE BUTT,Hindi_image_945.jpg
Top,"A silhouette of a person sitting in despair on a wet pavement at night, with blurry streetlights and trees in the background.",मौत आ जाए पर उस,Let death come but not the memory of,Hindi_image_1335.jpg
Middle,"A silhouette of a person sitting in despair on a wet pavement at night, with blurry streetlights and trees in the background.",बहन की लोरी की,sister's lullaby,Hindi_image_1335.jpg
Bottom,"A silhouette of a person sitting in despair on a wet pavement at night, with blurry streetlights and trees in the background.",याद ना आये,comes to mind,Hindi_image_1335.jpg
Top Text,Text on a white background.,जब आपका कॉन्वेंट वाला उद्दंड मित्र फ़ालतू bekaiti पेल रहा हो और आप उसे जानबूझकर सरकारी विद्यालय के हरामी लौंडों के पास भेज दें और वह अगले दिन गांड के बल कक्षा में बैठ ना पाए और ना ही किसी को बता पाए :,When your convent friend is talking nonsense and you intentionally send him to the bad students of government school and he can't sit on his butt the next day and can't tell anyone:,Hindi_image_616.jpg
Bottom Text,Text at the bottom of the image.,[ अकेले मजा लेते आप ],[You enjoy alone],Hindi_image_616.jpg
Top text,White text on a black background. The text is in Hindi and reads: 'Pinky and her 2 friends were talking in class.',"पिंकी और उसकी 2 सहेलियां क्लास में
बातें कर रही थी।",Pinky and her 2 friends were talking in class.,Hindi_image_170.jpg
Middle text 1,White text on a black background. The text is in Hindi and reads: 'Tinki: I saw a condom on the sir's table.',"टिंकी: मैंने सर के टेबल पर कंडोम
देखा।",Tinki: I saw a condom on the sir's table.,Hindi_image_170.jpg
Middle text 2,White text on a black background. The text is in Hindi and reads: 'Rinki: I made a hole in it.',"रिंकी: मैंने तो उसमें सुराख (छेद) कर
दिया था।",Rinki: I made a hole (opening) in it.,Hindi_image_170.jpg
Bottom text,"White text on a black background. The text is in Hindi and reads: 'Pinky: Oh, you got it ruined, you dog!'","पिंकी: ओह, मरवा दिया ना, कुत्ती।","Pinky: Oh, you got it ruined, you bitch!",Hindi_image_170.jpg
Top,"Yellow text on a black background says ""RCB after every match be like""",RCB after every match be like,RCB after every match be like,Hindi_image_1447.jpg
Bottom banner,"Three men in uniform and one man in a purple shirt are seen. The text below them reads ""humare Pas paisa nhi to ham galat?""",humare Pas paisa nhi to ham galat?,Are we wrong because we don't have money?,Hindi_image_1447.jpg
Top section,"A cartoon of a man with a mustache placing his hand on the shoulder of another man, holding a vial of testosterone.",ले भाई तू भी Body बना ले,"Here brother, you also build a body",Hindi_image_602.jpg
