location,image_description,text,translated_text,id
Main image,"A close-up of a bald, angry-looking child raising a stone to throw. In the background, other children are blurred.",હવે પાણા વાળી થાશે હો,Now it will turn into stones,Gujarati_image_1232.jpg
Top,Text in Gujarati script on a white background.,જ્યારે છોકરીઓને મોટું ગિફ્ટ આપે ત્યારે :,When girls are given a big gift:,Gujarati_image_1554.jpg
Middle,"A woman with glasses and an open mouth, appearing surprised or shocked.",,,Gujarati_image_1554.jpg
Top text,Yellow background with Gujarati text written in black.,આજ નું જ્ઞાન,Today's Knowledge,Gujarati_image_101.jpg
Middle text,Yellow background with Gujarati text written in black. The text is a statement about friends and girlfriends.,"દોસ્તો ના મન અને ગર્લફ્રેન્ડ
ના સ્તન હંમેશા મોટા હોવા","Friends' minds and girlfriends'
breasts should always be big",Gujarati_image_101.jpg
Bottom text,"Yellow background with Gujarati text and an emoji. The text reads 'Joiye' followed by '100' and a winking face emoji with its tongue out, and then 'ADULT GUJARATI'.","જોઇએ. 💯 😝
ADULTગુજરાતી","Should be. 100 😝
ADULT GUJARATI",Gujarati_image_101.jpg
Top text,Text in Gujarati with white outline on a black background.,જ્યારે એક મુસ્લિમ છોકરો તેના કાકાની દીકરીને પણ...,When a Muslim boy also...,Gujarati_image_115.jpg
Bottom text,Text in English with white outline on a black background.,Chya maayla.. babu bhaiya se direct babu,What a matter.. direct babu from babu bhaiya,Gujarati_image_115.jpg
bottom middle,"A man in a white tank top riding a scooter, with another man in a red suit behind him, also on the scooter. The background shows a street scene.","એની ટ્યુશન વાળી શેરી માંથી કાઢજે
ઈ બાર જ ઊભી કહેશે","Take her out of the tuition street
She will stand outside for a while",Gujarati_image_883.jpg
Top,"A wall decorated with cartoon emojis, hearts, and roses.",,,Gujarati_image_897.jpg
Center,"Two men looking at each other and smiling, with one man's arm around the other's shoulders. They are sitting close together.",,,Gujarati_image_897.jpg
Bottom,A blanket with cartoon emojis and hearts printed on it.,,,Gujarati_image_897.jpg
top text,"Text in Gujarati reads: ""What did the land say? Then it said after knowing...""",ચૂત ને કહા લંડ સે..ચુંદ જાને કે બાદ,What did the land say? Then it said after knowing...,Gujarati_image_1597.jpg
middle text,"Text in Gujarati reads: ""What did the land say? Then it said after knowing...""",ચૂત ને કહા લંડ સે. ચુંદ જાને કે બાદ,What did the land say? Then it said after knowing...,Gujarati_image_1597.jpg
bottom text,"Text in Gujarati reads: ""Look how shyly sat the motherfucker, meaning after knowing...""","દેખો કૈસે શર માંકે બેઠા હૈ ભોંસડીકા, મતલબ નિકાલ જાને કે બાદ....","Look how shyly sat the motherfucker, meaning after knowing...",Gujarati_image_1597.jpg
bottom emojis,Row of laughing and winking emojis.,,,Gujarati_image_1597.jpg
Top,"A cartoon character with a purple turban, sunglasses, and a wide smile, with one hand raised.",બકા ને ફાંસી ની સજા થઈ,Baka was sentenced to death by hanging,Gujarati_image_1024.jpg
Middle,"No specific description, this part contains text.","જજ પૂછ્યું: કોઈ છેલ્લી  
 ્માહિશ છે?",Judge asked: Is there any last wish?,Gujarati_image_1024.jpg
Bottom,"No specific description, this part contains text and an emoji.","બકો: હા મારા બદલે તમે લટકી 
 જાઓ. 😂","Baka: Yes, you hang in my place. 😂",Gujarati_image_1024.jpg
Bottom right,"No specific description, this part contains text.",ADULTગુજરાતી,ADULT GUJARATI,Gujarati_image_1024.jpg
Top,A green chat bubble with Gujarati text.,"મા એ ચિંતામાં અને છોકરાને ફોન
લગાવ્યો અને કહ્યું -
દીકરા, જલ્દી ઘરે આવ, વહુને
પેરાલિસિસનો હુમલો આવ્યો છે.
તેનું મોં વાંકુંચૂંકું થઈ ગયું, તેની આંખો
ઉપર થઈ ગઈ છે અને તેની ગરદન
વાંકી છે.
દીકરાએ કહ્યું- મા, તમે રહેવા દો,
ગભરાશો નહીં... એ સેલ્ફી લેતી
હશે.. 😂😂😂","Mother said worriedly and called her son -
Son, come home quickly, your wife
has had a paralysis attack.
Her mouth has become crooked, her eyes
have rolled up and her neck is
twisted.
Son said - Mother, you leave it,
don't worry... she must be taking a selfie.. 😂😂😂",Gujarati_image_1030.jpg
Bottom right,"The text 'Adult Gujarati' in a pinkish-purple font, below it the time '8:36 am' and two checkmarks.","Adult ગુજરાતી
8:36 am ✓✓","Adult Gujarati
8:36 am ✓✓",Gujarati_image_1030.jpg
top left,"A man with a thinking expression, resting his chin on his hand.","માર્ચમાં પહેલી વાર ૨૪
ક્લાસનો કફ્ર્યુ લગાવ્યો હતો","In March, for the first time, a 24-hour curfew was imposed.",Gujarati_image_465.jpg
top right,"A man with a stern expression, holding up one finger.","એના પછી ૩ મહિનાનું
લોકડાઉન કર્યું","After that, a lockdown was done for 3 months.",Gujarati_image_465.jpg
bottom left,"A man with a disgusted expression, holding two fingers to his mouth.","આ વખતે તો 57 કલાકનો
કફ્ર્યુ લગાવ્યો છે","This time, a 57-hour curfew has been imposed.",Gujarati_image_465.jpg
bottom right,A man with a shocked and exasperated expression.,"ઓહ બાપ રે, માર્યા ઠાર","Oh my god, they killed it.",Gujarati_image_465.jpg
top image,a man wearing headphones and a mask is sitting in front of a microphone,ગરમીમાં ટકતો નથી આ કોરોના,This corona does not stop in the heat,Gujarati_image_471.jpg
bottom left image,"a woman is holding her face and crying, her hand is touching her cheek",સાઈ રામ,Sai Ram,Gujarati_image_471.jpg
bottom right image,a man with a mustache is looking at a crying woman,દવે,Dave,Gujarati_image_471.jpg
top right image,a man with a mustache is looking at a crying woman,કોરોના,Corona,Gujarati_image_471.jpg
Top text,Text on a purple background with a gradient effect. The text is white and appears to be a dialogue.,ટીચર કલાસમાં તેના છોકરાને ધવડાવતા ધવડાવતા બોલી.......,"The teacher, while breastfeeding her son in class, said...",Gujarati_image_459.jpg
Middle text 1,Continuation of white text on a purple background.,"""અલે અલે મારો હિકકુ પી ને ડોક્ટર બનશે""","""Hey, hey, if he drinks my milk, he will become a doctor.""",Gujarati_image_459.jpg
Middle text 2,Continuation of white text on a purple background.,એક હરામખોર વિદ્યાર્થી બોલ્યો.....,A naughty student said.....,Gujarati_image_459.jpg
Middle text 3,Continuation of white text on a purple background.,"""ટીયર ટીયર થોડું અમને પણ પીવડાવી દેજો...","""Teacher, teacher, please let us also drink a little...",Gujarati_image_459.jpg
Bottom text,Continuation of white text on a purple background.,"અમે તો મેડિકલ સ્ટોર જ બોલીશું""","""We will just say medical store.""",Gujarati_image_459.jpg
Bottom row of emojis,A row of happy smiley face emojis.,,,Gujarati_image_459.jpg
Second bottom row of emojis,A row of happy smiley face emojis.,,,Gujarati_image_459.jpg
Top,Text in Gujarati script on a green background.,એક માણસે પત્ની પર ગુસ્સે થઈને કીધું:,A man got angry at his wife and said:,Gujarati_image_1178.jpg
Middle,Text in Gujarati script with a comma and then more text below.,એવું મગજ ગયું સે ને તારા પર કે તારા ટુકડે ટુકડા કરીને બહાર ફેંકી દઉં.,My mind has gone so much that I will tear you into pieces and throw you out.,Gujarati_image_1178.jpg
Bottom,"Text in Gujarati script with two commas, then more text below. Includes emojis of laughing faces.","અચાનક પાડોશમાંથી ભુંકા નો અવાજ આવ્યો.
ભાઈ, તાર બૈરી ના બોલા અને ભો - સ - ડા વાળો ભાગ અહીં ફેંકજે.","Suddenly, a sound of breaking came from the neighbor's house.
Brother, throw your wife's verbal and physical abuse part here.",Gujarati_image_1178.jpg
Bottom,"Large text ""Adult Gujarati"" with a winking face emoji.",Adultગુજરાતી,Adult Gujarati,Gujarati_image_1178.jpg
Top,"Gujarati text on a yellow background, the text asks a question.","ભાઈ, નીચે ના વાઘ આટલા ઝ્ડપથી કેમ ઉગે છે ??","Brother, why do the tigers below grow so fast??",Gujarati_image_1150.jpg
Middle,A watermark with Gujarati text.,Adultગુજરાતી,Adult Gujarati,Gujarati_image_1150.jpg
Bottom,Gujarati text followed by laughing emojis.,"બકો: કારણ કે આપણ સિંહને જંગલ ગમે છે, બંને જમીન નહિં.","Bako: Because we lions like the jungle, not the land.",Gujarati_image_1150.jpg
Bottom,Four laughing emojis with tears.,,,Gujarati_image_1150.jpg
Top,Yellow background with Gujarati text.,બકો એક વાર ગામડે ગયે.,Bako once went to the village.,Gujarati_image_288.jpg
Middle Top,Yellow background with Gujarati text.,ગામડે ખેડૂત ખેતર બતાવતો હતો.,"In the village, a farmer was showing the field.",Gujarati_image_288.jpg
Middle,Yellow background with Gujarati text.,"ખેડૂત: બકા ભાઈ આ કપાસ નું ખેતર
છે જેમાંથી કપડાં બને છે..","Farmer: Baka brother, this is a cotton field from which clothes are made.",Gujarati_image_288.jpg
Middle Bottom,Yellow background with Gujarati text.,"બકો: ઓહ તો આમાં બ્રા અને ચણી
બને એનું ઝાડ કર્યુ છે.","Bako: Oh, so this is a tree from which a bra and a skirt are made.",Gujarati_image_288.jpg
Bottom,Yellow background with Gujarati text and emojis.,ખેડૂત બેહોશ. 😂😜,Farmer fainted. 😂😜,Gujarati_image_288.jpg
Bottom,Yellow background with Gujarati text.,AdultGujarati,AdultGujarati,Gujarati_image_288.jpg
Top,A blue background with smiley faces and text in Gujarati.,એક ગાંડો Doctor પાસે ગયો...,A madman went to the Doctor...,Gujarati_image_17.jpg
Middle Top,A blue background with smiley faces and text in Gujarati.,"Doctor ચેક કરીને કહ્યું ""અરે તમને","The doctor checked and said, ""Hey, you",Gujarati_image_17.jpg
Middle,A blue background with smiley faces and text in Gujarati.,"ગાંડપણ છે"" તો ગાંડો પેન્ટ ઉતારી ને","Are mad"" so the madman took off his pants",Gujarati_image_17.jpg
Bottom,"A blue background with smiley faces and Gujarati text at the bottom, with a row of laughing emojis.","બોલ્યો ""જો બેનચોદ લંડપણ છે ""","Said, ""If you son of a bitch, it's a dick""",Gujarati_image_17.jpg
Top,Text in Gujarati with a quote about girls.,"છોકરીઓ ગમે તેટલી ચાલક હોય,","No matter how smart girls are,",Gujarati_image_1144.jpg
Middle,More Gujarati text.,પણ છોકરા કોઈ ન કોઈ સ્ટોરી બનાવ ને છોડવા માટે મનાઈ જ લેય છે.,But boys will find some or the other story to break up and refuse.,Gujarati_image_1144.jpg
Bottom,Three laughing emojis.,આમાં ચાલક કોને સમજવું?,Who should be considered smart in this?,Gujarati_image_1144.jpg
Top,"Text ""Not a Meme"" written in white on a blurred background.",Not a Meme,Not a Meme,Gujarati_image_505.jpg
Bottom,"A pregnant woman in a green dress is holding her belly, and a man in a black t-shirt is standing next to her with his hand on her belly.",હાર્દિક પંડ્યાની સૌથી ઝૂડપી ઈનિંગનો ફોટો છે બસ,This is a photo of Hardik Pandya's most thrilling inning.,Gujarati_image_505.jpg
Top,Text in Gujarati language with a meme image below.,જ્યારે તમે કોરોના થી બચવા દિવસ માં ૫૦ વાર હાથ ધોતાં હોય પણ તમારો મિત્ર હાથ મિલાવવા આગળ ધરે..,"When you wash your hands 50 times a day to avoid corona, but your friend comes forward to shake hands..",Gujarati_image_1193.jpg
Bottom,"A young boy looking to the side with a confused or hesitant expression, holding a cup. The image is duplicated side-by-side.",,,Gujarati_image_1193.jpg
Top,Text in Gujarati on a dark blue background.,સેક્સ પછી છોકરી પહેલો શબ્દ કયો બોલે?,What is the first word a girl says after sex?,Gujarati_image_539.jpg
Middle Top,Text in Gujarati on a dark blue background.,મજા આવી ગઈ.,I had fun.,Gujarati_image_539.jpg
Middle,Text in Gujarati on a dark blue background.,ના.,No.,Gujarati_image_539.jpg
Middle Below,Text in Gujarati on a dark blue background.,આઈ લાવ યુ.,I love you.,Gujarati_image_539.jpg
Middle Bottom,Text in Gujarati on a dark blue background.,ના.,No.,Gujarati_image_539.jpg
Bottom Top,Text in Gujarati and English on a dark blue background.,મારી ચડી ક્યાં ગઈ??,Where did my pants go??,Gujarati_image_539.jpg
Bottom,Laughing emojis on a dark blue background.,,,Gujarati_image_539.jpg
Bottom Right,Text in English on a dark blue background.,vaatu chitu,vaatu chitu,Gujarati_image_539.jpg
Top,"The text reads ""See how much difference trees make"". The text is accompanied by a smiley face with heart eyes and a red heart.",વૃક્ષોથી કેટલો ફરક પડે છે એ જુઓ,See how much difference trees make,Gujarati_image_908.jpg
Left Half,"A tree-lined street with a sidewalk, indicating a cool environment. The temperature displayed is 20°C.",20°C,20°C,Gujarati_image_908.jpg
Right Half,"A crowded street with traffic, shops, and people, indicating a hot environment. The temperature displayed is 43°C.",43°C,43°C,Gujarati_image_908.jpg
Bottom,"Text in Gujarati encouraging people to plant more trees and save the environment, accompanied by a smiling face and a flower emoji. Below this, the Instagram handle ""@Aapde_Gujarati"" is displayed.","વધારે વૃક્ષો વાવો અને પર્યાવરણને બચાવો😇🌸
INSTAGRAM | @Aapde_Gujarati","Plant more trees and save the environment😇🌸
INSTAGRAM | @Aapde_Gujarati",Gujarati_image_908.jpg
Top navigation bar,"Back arrow, channel name 'Adult ગુજરાતી' with a drooling face emoji, a screen icon, a search icon, and a three-dot menu icon.",Adult ગુજરાતી,Adult Gujarati,Gujarati_image_934.jpg
Profile picture area,"A circular profile picture with a person wearing a turban and sunglasses, and text 'ADULT GUJJU' at the bottom of the circle.",ADULT GUJJU,ADULT GUJJU,Gujarati_image_934.jpg
Channel name and subscriber count,"Channel name 'Adult ગુજરાતી' with a drooling face emoji, channel handle '@Adult_Gujju', subscriber count '342 subscribers' and video count '57 videos'.","Adult ગુજરાતી
@Adult_Gujju
342 subscribers • 57 videos","Adult Gujarati
@Adult_Gujju
342 subscribers • 57 videos",Gujarati_image_934.jpg
Subscription prompt,Text in Gujarati encouraging subscription with a winking face emoji and a right arrow icon.,મજા કરવી હોય તો subscribe કરજો,"If you want to have fun, subscribe",Gujarati_image_934.jpg
Manage videos button,A rounded button with the text 'Manage videos'.,Manage videos,Manage videos,Gujarati_image_934.jpg
Channel sections,"Tabs for 'Home', 'Videos', 'Shorts', and 'Community'. 'Home' is underlined.",Home Videos Shorts Community,Home Videos Shorts Community,Gujarati_image_934.jpg
Content section title,Text 'For you'.,For you,For you,Gujarati_image_934.jpg
Video thumbnail 1,A blurred thumbnail showing a person's arm.,,,Gujarati_image_934.jpg
Video thumbnail 2,A thumbnail with text in Hindi that appears to be a title or description for a video.,अब तेरी मर्जी,Now your wish,Gujarati_image_934.jpg
Bottom,"A young orangutan is standing in a lush green forest with its arms crossed, looking thoughtful. Text is overlaid on the lower part of the image.",લગન તો હમણાં કરી કોઈ છોકરી દેવું જેવે ને 😊,"I'll get married now, someone should give me a girl 😊",Gujarati_image_1346.jpg
Top,Text in Gujarati on a black background. The text talks about a daughter-in-law going to her father-in-law to ask for money.,"વહુ ફળિયામાં બેઠેલા
સસરા પાસે ખાલી યા નો
કપ લેવા ગઈ:
કપ લેવા જેવી વાકી વળી
તો જરાક પધાઈ ગયું :
વહુ શરમ ના મારે પાછી
આવતી તી:
સસરા એ ધીમેથી કીધું
બેટા કઈ કામ હતું કે બસ
ખાલી પાધવા જ આવતા","The daughter-in-law, sitting in the courtyard, went to her father-in-law to ask for money:
As soon as she bent down to ask for the cup, she urinated a little:
The daughter-in-law, shy, was coming back:
The father-in-law slowly said,
""Daughter, did you have some work, or did you just come to pee?""",Gujarati_image_920.jpg
Top Center,A small black banner with two men smiling and text in Gujarati.,તારો જમાઈ તાર,Your son-in-law your,Gujarati_image_1420.jpg
Top Left,A laughing emoji with its tongue sticking out and eyes crossed.,,,Gujarati_image_1420.jpg
Top Right,A winking emoji with its tongue sticking out.,,,Gujarati_image_1420.jpg
Middle Top,Text in Gujarati.,પત્ની: મારા માટે તો,Wife: For me,Gujarati_image_1420.jpg
Middle,Text in Gujarati with a watermark in the background.,દૂર દૂરથી માંગવા આવતા,Coming from afar to ask,Gujarati_image_1420.jpg
Middle Bottom,Text in Gujarati.,બોલો.,Say.,Gujarati_image_1420.jpg
Bottom Middle,Text in Gujarati.,પતિ: નજીક રહેતા હોય,Husband: If they live nearby,Gujarati_image_1420.jpg
Bottom,Text in Gujarati.,એ તો ઓળખતા હોય ને.,Then they would recognize them.,Gujarati_image_1420.jpg
Bottom Left,A winking emoji with its tongue sticking out.,,,Gujarati_image_1420.jpg
Bottom Center,"Three laughing emojis, two with eyes closed and smiling widely, one winking with its tongue sticking out.",,,Gujarati_image_1420.jpg
Bottom Right,A laughing emoji with its tongue sticking out and eyes crossed.,,,Gujarati_image_1420.jpg
Top,Gujarati text with emojis,તારી માટે લાઈ લાલ લાલ ગુલાબ નો ગોટો.. 🌹,Red rose bud for you..,Gujarati_image_1391.jpg
Middle,Gujarati text with a banana emoji,આખી દુનિયા માં બધા કરતાં મારો ટોપો મોટો.. 🍌,My top is bigger than everyone in the whole world..,Gujarati_image_1391.jpg
Bottom,Gujarati text with laughing and winking emojis,તારે જોવો હોય તો મોકલજે તારો ફોટો.🥰😜😂,"If you want to see, send your photo.",Gujarati_image_1391.jpg
Bottom-most,Logo with Gujarati text and a face emoji,Adultગુજરાતી 😜,Adult Gujarati,Gujarati_image_1391.jpg
bottom,"A gorilla is sitting with its hand on its forehead, looking confused or distressed. The text is in Gujarati.",આ વર્ષે પણ ફિફ્કી પકડવાવાળી ના મળી,"Even this year, couldn't find anyone to catch a kite.",Gujarati_image_1384.jpg
Top,"Text in Gujarati on a bus windshield, with a laughing emoji.","તમને ખબર છે આપણા ગુજરાતમાં ""ગાલું"" નામ નું ગામ છે બોલો. 😂","Do you know that there is a village named ""Galu"" in Gujarat, tell me. 😂",Gujarati_image_1390.jpg
Middle,A blue sign board on the bus windshield with text in Gujarati.,અમદાવાદ-મહેસાણા-ગાંજી,Ahmedabad-Mehsana-Ganji,Gujarati_image_1390.jpg
Bottom,A yellow sticker on the bus with text in Gujarati and English.,"MSN
બેચરા","MSN
Bechra",Gujarati_image_1390.jpg
Bottom Right,Text in Gujarati on the bus.,Adultગુજરાતી,AdultGujarati,Gujarati_image_1390.jpg
Top text,"The text in the top section is in Gujarati and states that 10 people were killed by a hit-and-run accident, and the accused, Vishmay Shah, was acquitted.",૧૦ લોકોને મોતને ઘાટ ઉતારનારો તથ્ય પટેલ જેલમાંથી ગયો તો ૨૦૧૩ના હિટ એન્ડ રનનો આરોપી વિસ્મય શાહ જેલમાંથી છૂટ્યો !,"The person who killed 10 people, Tathy Patel, went to jail, so the accused in the 2013 hit-and-run case, Vishmay Shah, was released from jail!",Gujarati_image_706.jpg
Left image,A man in a pink shirt standing in front of police vehicles.,,,Gujarati_image_706.jpg
Right image,A man in a black shirt looking serious.,,,Gujarati_image_706.jpg
Bottom text,"The text in the bottom section is in Gujarati and details that Vishmay Shah, accused in the 2013 BMW hit-and-run case in Ahmedabad, was acquitted and released from jail after serving a five-year sentence. He was released from Sabarmati jail and reportedly drove his BMW at full speed, hitting two young men.","આજથી બરાબર ૧૦ વર્ષ પહેલા અમદાવાદમાં જ બનેલા ચકચારી BMW હિટ એન્ડ રન કેસના ગુનેગાર વિસ્મય શાહનો જેલમાંથી છૂટકારો થયો છે. વિસ્મયને પાંચ વર્ષની જેલની સજા ફટકારવામાં આવી હતી, જે હજુ ગયા સપ્તાહે જ પૂરી થતાં તેને સાબરમતી જેલમાંથી મુક્ત કરવામાં આવ્યો છે. વિસ્મયે પોતાની BMW કાર ફૂલ સ્પીડમાં ચલાવી ૨ યુવકોને ફૂટબોલની જેમ ઉછાળી દીધા હતા!","Exactly 10 years ago today, Vishmay Shah, convicted in the sensational BMW hit-and-run case that occurred in Ahmedabad, has been released from jail. Vishmay was sentenced to five years in jail, which he completed last week, and was then released from Sabarmati jail. Vishmay was driving his BMW car at full speed and had tossed 2 youths like footballs!",Gujarati_image_706.jpg
Top,A woman in a red suit standing on the moon with Earth in the background and a lunar lander beside her.,"તમે લોકો અહીંયા ""ચંદ્રયાન-3""ની રાહ જોઈ રહ્યા છો અને ત્યાં ભારતીય મીડિયા કાલે રાત્રે જ ચંદ્રના સાઉથ પોલમા લેન્ડ કરી ચુકી છે !","You people are waiting for ""Chandrayaan-3"" here, and there the Indian media has already landed on the South Pole of the moon last night!",Gujarati_image_712.jpg
Middle,A woman in a red suit standing on the moon with Earth in the background and a lunar lander beside her. The GujjuRocks logo is in the top right corner.,f / GujjuRocks,f / GujjuRocks,Gujarati_image_712.jpg
Bottom,A woman in a red suit standing on the moon with Earth in the background and a lunar lander beside her.,,,Gujarati_image_712.jpg
Top,Three laughing emojis with eyes closed,"ટીચર: ભગવાન રામ વનવાસ માટે
કેટલા વાગે નીકળ્યા હતા?",Teacher: At what time did Lord Ram go for exile?,Gujarati_image_921.jpg
Middle,Text in Gujarati font,ભૂરો: ૯.૧૫,Bhuro: 9.15,Gujarati_image_921.jpg
Middle,Text in Gujarati font,ટીચર: તને કેવી રીતે ખબર પડી?,Teacher: How do you know?,Gujarati_image_921.jpg
Middle,Text in Gujarati font,"ભૂરો: *વનવાસ* શબ્દ ને ઉઘો
વાંચ્યો...",Bhuro: Read the word *vanvas* upside down...,Gujarati_image_921.jpg
Bottom,Text in Gujarati font,(ટીયરે ભણાવવાનું છોડી દીધું.),(The teacher stopped teaching.),Gujarati_image_921.jpg
Bottom,"Three emojis: one with smiling face with open mouth and smiling eyes, another with face with tears of joy and mouth open, and the third with winking face with tongue out",,,Gujarati_image_921.jpg
top right,A woman with her tongue sticking out and smiling.,મર્દ ની તાકાત નું,Man's strength is not,Gujarati_image_1347.jpg
top right,A woman with her tongue sticking out and smiling.,"અનુમાન બળ થી નહિ,","estimated by strength,",Gujarati_image_1347.jpg
bottom left,A woman sticking her tongue out and smiling.,છોકરી ની બુમ થી,The girl's scream,Gujarati_image_1347.jpg
bottom left,A woman sticking her tongue out and smiling.,ખબર પડે છે.,makes it known.,Gujarati_image_1347.jpg
bottom right,"A woman with her eyes closed and mouth open, laughing.",Adult ગુજરાતી,Adult Gujarati,Gujarati_image_1347.jpg
Top,Gujarati text in black color with a white outline.,ساسુ વહુ વચ્ચે ડખો થાય ત્યારે,When there is a dispute between mother-in-law and daughter-in-law,Gujarati_image_538.jpg
Middle,"A man wearing a pink turban and a red kurta, with a yellow shawl, is adding something to a pot. He is sprinkling salt or spices into the pot. Shelves with various kitchen items are visible in the background.","O Ji Namak Shamak, Namak Shamak..
Daal Dete Hain...","Oh Sir, salt, salt..
Give them...",Gujarati_image_538.jpg
Bottom Right,"The word ""Nagin"" written in Gujarati script with a red outline and black fill. Below it, the watermark ""BhejaaiOdia"" is visible in small white text.","ણાણંદબા
BhejaaiOdia","Grandmother
BhejaaiOdia",Gujarati_image_538.jpg
Top,Girl asking father to teach her to see the future,છોકરી: બાબા મને ભવિષ્ય જોવાનું શીખવાળો ને..,"Girl: Father, teach me to see the future.",Gujarati_image_1192.jpg
Middle Top,Father telling daughter to undress and become a horse,બાબા: ઠીક છે કપડાં ઉતારો અને ઘોડી બનો.,"Father: Okay, take off your clothes and become a horse.",Gujarati_image_1192.jpg
Middle Bottom,Girl asking if father is making her a horse to ride,છોકરી: ઓહ તો તમે મને ઘોડી બનાઈ ને ઢોકવા નો છો?,"Girl: Oh, so you are making me a horse to ride?",Gujarati_image_1192.jpg
Bottom,Father stating he can show the future in one second with laughing emojis,બાબા: જો એક જ સેકન્ડ માં ભવિષ્ય દેખાવા લાગ્યું ને.,Father: If the future starts appearing in just one second.,Gujarati_image_1192.jpg
Bottom Text,Text 'Adult Gujarati' with a winking emoji,Adultગુજરાતી,Adult Gujarati,Gujarati_image_1192.jpg
1,"Text in Gujarati reads: A married person's life is like a belt. There are many holes in front, but every day one has to put it in the same hole!","પરિણિત માણસનું જીવન બેલ્ટના
બક્કલ જેવું હોય છે. સામે ઘણા
બધા કાળા હોય છે, પણ દરરોજ
એક જ કાળામાં નાખવું પડે છે !","A married person's life is like a belt's
buckle. There are many
holes in front, but everyday
it has to be put in the same hole!",Gujarati_image_510.jpg
2,Text in Gujarati reads: Kavino Saggo Bhatrijo,"- કવી નો સગ્ગો
*ભત્રીજો*",- Kavi's nephew,Gujarati_image_510.jpg
3,Row of laughing and silly emojis.,,,Gujarati_image_510.jpg
Top,"Text in Gujarati language, written in black color on a white background.",આ વરસાદ ની સિઝનમાં,In this rainy season,Gujarati_image_1145.jpg
Middle,"Text in Gujarati language, written in black color on a white background.","તમને પનીર પકોડા મળે કે ન મળે,","Whether you get paneer pakora or not,",Gujarati_image_1145.jpg
Middle,"Text in Gujarati language, written in black color on a white background.",પણ ગાડી અને બાઇક થી,But from car and bike,Gujarati_image_1145.jpg
Middle,"Text in Gujarati language, written in black color on a white background.",ગારા ના છોટા ઉડાડવા,Splashing small amounts of mud,Gujarati_image_1145.jpg
Bottom,"Text in Gujarati language, written in black color on a white background.",વાળા ગલચોદ્યા ચોક્કસ,And definitely splashing the fucking mud,Gujarati_image_1145.jpg
Bottom,"Text in Gujarati language, written in black color on a white background.",મળશે.,Will be found.,Gujarati_image_1145.jpg
Bottom,"Three emojis: two clouds with rain/snow, a gray circular face, and a laughing face emoji.",,,Gujarati_image_1145.jpg
Bottom right,Logo 'Adultgujarati' in yellow color.,Adultgujarati,Adultgujarati,Gujarati_image_1145.jpg
Top,"Yellow background with black Gujarati text. The text reads: ""Salun khabar nahi koni najar lagi chhe,""","સા .લુ ખબર નહિ કોની
 .જ .ર લાગી છે,","I don't know whose evil eye has fallen,",Gujarati_image_1151.jpg
Middle,"Yellow background with black Gujarati text. The text reads: ""Aaitam maafi to dhokva mate jagya j mapati nathi.""","આઈટમ મ.ફી તો ઢોકવા
માટે જગ્યા જ મળતી","For a worthy item, there isn't enough space to accommodate it.",Gujarati_image_1151.jpg
Bottom right,"Yellow background with black Gujarati text. The text reads: ""AdultGujarati"" and a winking emoji with a tongue sticking out.",ન .થી. 😜 Adultગુજરાતી,No. ,Gujarati_image_1151.jpg
